ts,f_lat,f_lon,uav_lat,uav_lon,error_m,sources
1766949064933,39.926997,32.850374,39.927000,32.850362,1.06,RADAR-1;RADAR-2
1766949065036,39.926992,32.850354,39.927000,32.850362,1.09,RADAR-1;RADAR-2
1766949065140,39.927074,32.850335,39.927000,32.850362,8.51,RADAR-1;RADAR-2
1766949065241,39.927190,32.850326,39.927000,32.850362,21.34,RADAR-1;RADAR-2
1766949065344,39.927240,32.850325,39.927500,32.850417,29.93,RADAR-2;RADAR-1
1766949065446,39.927290,32.850347,39.927500,32.850417,24.16,RADAR-2;RADAR-1
1766949065551,39.927381,32.850331,39.927500,32.850417,15.12,RADAR-2;RADAR-1
1766949065653,39.927450,32.850353,39.927500,32.850417,7.75,RADAR-2;RADAR-1
1766949065755,39.927476,32.850412,39.927500,32.850417,2.67,RADAR-1;RADAR-2
1766949065858,39.927537,32.850384,39.927500,32.850417,4.95,RADAR-1;RADAR-2
1766949065960,39.927612,32.850374,39.927500,32.850417,12.96,RADAR-2;RADAR-1
1766949066063,39.927682,32.850386,39.927500,32.850417,20.41,RADAR-2;RADAR-1
1766949066167,39.927731,32.850411,39.927500,32.850417,25.70,RADAR-1;RADAR-2
1766949066304,39.927776,32.850427,39.928000,32.850476,25.31,RADAR-1;RADAR-2
1766949066369,39.927872,32.850466,39.928000,32.850476,14.21,RADAR-2;RADAR-1
1766949066473,39.927984,32.850408,39.928000,32.850476,6.05,RADAR-1;RADAR-2
1766949066576,39.927993,32.850433,39.928000,32.850476,3.80,RADAR-1;RADAR-2
1766949066679,39.928017,32.850481,39.928000,32.850476,1.98,RADAR-1;RADAR-2
1766949066781,39.928034,32.850489,39.928000,32.850476,3.91,RADAR-1;RADAR-2
1766949066884,39.928114,32.850474,39.928000,32.850476,12.63,RADAR-2;RADAR-1
1766949066987,39.928191,32.850491,39.928000,32.850476,21.23,RADAR-1;RADAR-2
1766949067090,39.928203,32.850521,39.928000,32.850476,22.86,RADAR-2;RADAR-1
1766949067235,39.928311,32.850528,39.928000,32.850476,34.85,RADAR-2;RADAR-1
1766949067308,39.928252,32.850554,39.928500,32.850539,27.57,RADAR-2;RADAR-1
1766949067399,39.928312,32.850557,39.928500,32.850539,20.93,RADAR-2;RADAR-1
1766949067503,39.928407,32.850558,39.928500,32.850539,10.47,RADAR-1;RADAR-2
1766949067608,39.928486,32.850582,39.928500,32.850539,3.96,RADAR-2;RADAR-1
1766949067711,39.928513,32.850574,39.928500,32.850539,3.31,RADAR-2;RADAR-1
1766949067814,39.928549,32.850591,39.928500,32.850539,7.02,RADAR-1;RADAR-2
